iter	Passed	Remaining
0	4	4057
1	7	3915
2	13	4361
3	17	4264
4	22	4455
5	26	4420
6	32	4637
7	36	4548
8	43	4749
9	46	4637
10	52	4726
11	56	4663
12	62	4733
13	66	4687
14	72	4737
15	76	4693
16	81	4729
17	86	4742
18	93	4823
19	97	4792
20	104	4858
21	109	4857
22	115	4902
23	119	4876
24	125	4892
25	129	4860
26	135	4887
27	140	4875
28	146	4898
29	150	4864
30	156	4876
31	160	4845
32	165	4855
33	169	4818
34	175	4840
35	179	4810
36	185	4828
37	189	4790
38	194	4784
39	197	4750
40	203	4762
41	207	4729
42	212	4737
43	216	4712
44	222	4719
45	226	4687
46	231	4692
47	234	4655
48	239	4653
49	243	4633
50	249	4634
51	252	4603
52	257	4601
53	261	4588
54	266	4587
55	270	4562
56	275	4560
57	279	4544
58	285	4548
59	288	4527
60	294	4528
61	297	4507
62	303	4511
63	307	4491
64	312	4494
65	316	4473
66	321	4483
67	326	4472
68	332	4483
69	335	4463
70	341	4466
71	346	4462
72	350	4456
73	354	4440
74	360	4446
75	363	4425
76	369	4425
77	373	4409
78	378	4410
79	382	4403
80	388	4412
81	393	4405
82	399	4413
83	403	4400
84	409	4403
85	413	4390
86	418	4386
87	422	4377
88	427	4380
89	432	4370
90	438	4376
91	442	4363
92	447	4365
93	451	4352
94	457	4354
95	462	4350
96	467	4353
97	471	4341
98	477	4345
99	481	4335
100	486	4333
101	490	4320
102	496	4321
103	500	4309
104	505	4311
105	510	4308
106	517	4314
107	521	4304
108	526	4307
109	530	4295
110	536	4296
111	540	4283
112	546	4286
113	550	4280
114	556	4280
115	559	4266
116	565	4271
117	570	4263
118	576	4267
119	580	4258
120	586	4260
121	590	4251
122	596	4251
123	600	4240
124	605	4240
125	609	4229
126	614	4226
127	619	4220
128	625	4220
129	628	4208
130	635	4212
131	639	4204
132	645	4205
133	648	4192
134	654	4190
135	657	4175
136	662	4172
137	666	4164
138	673	4170
139	677	4159
140	682	4156
141	686	4146
142	691	4143
143	694	4128
144	699	4124
145	703	4114
146	708	4111
147	712	4099
148	717	4097
149	721	4088
150	726	4084
151	730	4073
152	735	4071
153	739	4060
154	744	4056
155	748	4051
156	754	4049
157	758	4040
158	763	4040
159	768	4034
160	774	4034
161	778	4026
162	784	4026
163	788	4019
164	794	4019
165	798	4011
166	803	4008
167	808	4002
168	813	3999
169	817	3989
170	822	3987
171	826	3979
172	831	3976
173	835	3966
174	840	3964
175	844	3953
176	849	3951
177	853	3942
178	859	3940
179	862	3931
180	867	3927
181	872	3920
182	877	3917
183	881	3907
184	886	3905
185	890	3897
186	895	3894
187	899	3885
188	904	3882
189	908	3874
190	913	3870
191	918	3864
192	923	3860
193	927	3852
194	932	3848
195	936	3840
196	941	3837
197	945	3828
198	951	3828
199	955	3823
200	961	3822
201	965	3816
202	970	3811
203	974	3803
204	980	3800
205	983	3792
206	989	3790
207	994	3785
208	999	3781
209	1002	3773
210	1008	3770
211	1013	3766
212	1018	3764
213	1023	3757
214	1028	3756
215	1032	3748
216	1039	3750
217	1043	3744
218	1049	3744
219	1053	3736
220	1058	3732
221	1062	3724
222	1067	3720
223	1071	3712
224	1077	3709
225	1080	3702
226	1086	3699
227	1090	3691
228	1094	3685
229	1098	3678
230	1104	3675
231	1107	3665
232	1112	3661
233	1115	3652
234	1120	3648
235	1124	3641
236	1129	3637
237	1133	3629
238	1138	3626
239	1143	3619
240	1148	3617
241	1153	3611
242	1159	3611
243	1163	3605
244	1169	3603
245	1173	3596
246	1178	3592
247	1182	3584
248	1187	3581
249	1191	3574
250	1196	3571
251	1200	3563
252	1205	3560
253	1210	3555
254	1216	3554
255	1220	3546
256	1226	3546
257	1230	3539
258	1236	3537
259	1240	3531
260	1246	3530
261	1251	3524
262	1256	3521
263	1260	3515
264	1266	3512
265	1271	3508
266	1276	3505
267	1281	3501
268	1290	3507
269	1295	3501
270	1301	3501
271	1305	3494
272	1312	3494
273	1316	3488
274	1322	3487
275	1328	3484
276	1334	3482
277	1338	3477
278	1344	3474
279	1349	3469
280	1355	3467
281	1359	3461
282	1365	3460
283	1370	3455
284	1376	3452
285	1380	3446
286	1386	3443
287	1390	3437
288	1396	3436
289	1401	3430
290	1408	3432
291	1413	3426
292	1419	3424
293	1423	3419
294	1430	3418
295	1435	3413
296	1441	3410
297	1444	3403
298	1450	3401
299	1454	3394
300	1460	3392
301	1464	3385
302	1470	3381
303	1474	3375
304	1479	3371
305	1483	3364
306	1488	3359
307	1492	3353
308	1498	3351
309	1502	3344
310	1507	3340
311	1511	3333
312	1516	3328
313	1520	3321
314	1525	3318
315	1529	3310
316	1534	3306
317	1538	3299
318	1543	3294
319	1546	3287
320	1552	3283
321	1556	3276
322	1561	3272
323	1565	3266
324	1571	3263
325	1574	3256
326	1580	3252
327	1584	3245
328	1588	3240
329	1592	3232
330	1597	3228
331	1601	3221
332	1606	3217
333	1610	3210
334	1615	3206
335	1619	3200
336	1624	3196
337	1627	3188
338	1632	3183
339	1636	3176
340	1642	3173
341	1645	3166
342	1651	3162
343	1654	3155
344	1659	3151
