,accuracy mean,accuracy std,precision mean,precision std,recall mean,recall std,roc_auc mean,roc_auc std,f1 mean,f1 std,runtime mean,runtime std
MajorityClass,0.9464285714285714,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,9.989738464355469e-05,0.00029969215393066406
XGBClassifier,0.9482142857142856,0.010412414097938048,0.4633333333333334,0.20572365498945963,0.31666666666666665,0.20344259359556172,0.8477987421383648,0.08102764352899396,0.3643939393939394,0.1954096795529156,0.008624053001403809,0.0014536927804403264
MedPFNClassifier,0.9473214285714284,0.00625000000000002,0.4,0.43588989435406733,0.11666666666666665,0.1301708279317776,0.870125786163522,0.07109005092398088,0.1657142857142857,0.17037773161000658,0.35520179271698,0.07598215086324014
MedPFNClassifier,0.95,0.008183170883849735,0.5333333333333333,0.3929942040850532,0.19999999999999998,0.1452966314513558,0.9146226415094338,0.05708673243386307,0.276031746031746,0.19141363231080677,2.463054919242859,0.170883440784109
MedPFNClassifier,0.9526785714285714,0.009821428571428578,0.5795238095238094,0.09120135456685897,0.5,0.19720265943665388,0.9185534591194969,0.059850954733938706,0.5162703962703963,0.11270156257362768,11.283181762695312,0.16890368411892678
RandomForestClassifier,0.9491071428571429,0.010602091149141001,0.35,0.39051248379533277,0.16666666666666666,0.18257418583505539,0.894496855345912,0.07757470296284064,0.22166666666666662,0.24198829172778863,0.19797043800354003,0.017726664718748016
CatBoostGrid,0.9491071428571429,0.005717075211993643,0.5,0.4472135954999579,0.13333333333333333,0.1247219128924647,0.9006289308176099,0.06129575365200089,0.19428571428571426,0.16403085822179797,49.63254351615906,5.548483127455981
XGBoostGrid,0.9464285714285714,0.0,0.0,0.0,0.0,0.0,0.8709119496855348,0.05447358755969857,0.0,0.0,35.94412140846252,2.2245144079439925
LogisticRegressionClassifier,0.9392857142857143,0.013716331692622536,0.39285714285714285,0.24467109673647863,0.21666666666666665,0.15,0.8251572327044026,0.09550071649880919,0.2694871794871795,0.16863479622910854,0.010700106620788574,0.0016761714315213316
TabPFNClassifier,0.9464285714285715,0.01785714285714287,0.37333333333333335,0.39687669509699247,0.2,0.19436506316151,0.9058176100628931,0.05693235343951501,0.2585858585858586,0.2610363685691005,3.140664744377136,0.20828725343481377
TabForestPFNClassifier,0.9357142857142857,0.025505101530510197,0.4111904761904762,0.2761556833585852,0.31666666666666665,0.18929694486000914,0.8938679245283018,0.0421797060884947,0.35038184038184034,0.21674994047962115,21.716390776634217,2.4970426851450855
