,accuracy mean,accuracy std,precision mean,precision std,recall mean,recall std,roc_auc mean,roc_auc std,f1 mean,f1 std,runtime mean,runtime std
MajorityClass,0.9405286343612336,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.00039970874786376953,0.0004895428457447322
XGBClassifier,0.9462555066079295,0.009458550904662485,0.5629586443827931,0.10008191094374194,0.4185185185185185,0.09522192690505511,0.8430783242258653,0.05523126211687886,0.47902158228245184,0.09689670018437052,0.045744919776916505,0.0037534320390715434
MedPFNClassifier,0.9480176211453746,0.00624557131222813,0.6776190476190477,0.14193210205003182,0.23333333333333334,0.07229341220719679,0.8559111805013444,0.04461591341241492,0.34497883144941965,0.09603478546354925,5.032915329933166,0.1028485349708099
MedPFNClassifier,0.9528634361233481,0.0056758144170595244,0.7354946524064171,0.10748651877638005,0.32222222222222224,0.08614595073787412,0.8956631104172086,0.038142039262310475,0.44334129597287497,0.09411768962297967,28.414246726036072,0.40721821364970506
MedPFNClassifier,0.9524229074889867,0.008014716034652076,0.6515543876413441,0.12463438731658001,0.47037037037037044,0.10217121647506461,0.898065747246075,0.03564002557954659,0.5370598608809184,0.08583047705302664,43.367125511169434,5.0621137577789375
RandomForestClassifier,0.9588105726872247,0.004410789514207217,0.8593432302991125,0.09383981228911424,0.37407407407407406,0.07490277191169142,0.8956500997484603,0.03951250323152037,0.5151667704865005,0.07649268122563373,1.0552577018737792,0.05374139826447746
CatBoostGrid,0.958590308370044,0.0050994876223745215,0.8362626262626263,0.11807510506313273,0.3888888888888889,0.08156561313164903,0.9070517824616184,0.028421479545130933,0.523491716123295,0.07691267884225798,147.72773070335387,7.182392606332552
XGBoostGrid,0.9491189427312776,0.005254123542676897,0.5977777777777777,0.3107582939741875,0.22222222222222224,0.11233889546743037,0.8930696504466997,0.03451071649084877,0.32359728149201833,0.1643171896597027,130.90447335243226,14.342237290514595
LogisticRegressionClassifier,0.9372246696035242,0.007188180119859365,0.474030303030303,0.08681208138810449,0.3851851851851852,0.0706621630679219,0.8199670396391708,0.0510815520405056,0.4208627972249235,0.060699745482837714,0.029800820350646972,0.0069827705491108455
TabPFNClassifier,0.9535242290748899,0.003028133719133823,0.8458730158730159,0.04886955915540199,0.26666666666666666,0.046259244432580726,0.9109636568652961,0.034377071405822475,0.40374411845000074,0.05742196094573794,30.06282522678375,3.128988973925306
TabForestPFNClassifier,0.9530837004405287,0.0063876651982378895,0.6844141629896106,0.09717044834007156,0.4222222222222222,0.07626392697027408,0.8999999999999998,0.028096737897860657,0.5147927367564108,0.06247640998647931,221.5264137029648,14.168204865199707
