,accuracy mean,accuracy std,precision mean,precision std,recall mean,recall std,roc_auc mean,roc_auc std,f1 mean,f1 std,runtime mean,runtime std
MajorityClass,0.75,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,9.9945068359375e-05,0.00029983520507812503
MedPFNClassifier,0.8383928571428572,0.010140907760357594,0.708637377115638,0.027228633077952147,0.6035714285714285,0.049099025303098315,0.8633928571428571,0.03253817947198926,0.6503851257674786,0.028562894696260936,0.24940147399902343,0.009664549833211473
MedPFNClassifier,0.8517857142857143,0.015046696023529203,0.7514794628204238,0.05068118840944973,0.6142857142857142,0.05248906591678241,0.8976190476190476,0.015245533898649605,0.6738671824629272,0.034144683125008776,1.5504011392593384,0.02420834387021152
MedPFNClassifier,0.8598214285714286,0.01998484757642804,0.767320875669333,0.06762790099374247,0.6428571428571429,0.06776309271789385,0.9038690476190476,0.020832856096158196,0.6955122519576207,0.04349440360495155,10.064701294898986,0.06933317568811617
RandomForestClassifier,0.8633928571428571,0.01648766545769589,0.8069435447593343,0.05024552770051076,0.6,0.06925256939166187,0.9030399659863944,0.03303169900260652,0.6853693077066787,0.04739105963261734,0.31599977016448977,0.008258966234731187
CatBoostGrid,0.8741071428571429,0.02779354002905962,0.8298838763575607,0.06970425798824365,0.6250000000000001,0.09482798605251253,0.92453231292517,0.02849670465265944,0.7097511727496444,0.07628942695919237,100.80580837726593,3.762464597282475
XGBoostGrid,0.8776785714285713,0.016487665457695894,0.838453272217978,0.02887903105206043,0.6357142857142857,0.09006800152084637,0.9277636054421767,0.030501885587798098,0.7185898333082208,0.05482837261383061,64.72080001831054,1.35749225240755
LogisticRegressionClassifier,0.8205357142857144,0.01619496173858667,0.671374358367375,0.026589208588838287,0.5535714285714286,0.10006375518658502,0.8514030612244898,0.04535909091363347,0.6019393667948927,0.06314283471398544,0.0076007843017578125,0.0007995970254504582
TabPFNClassifier,0.8723214285714287,0.021521376416417767,0.8008699633699633,0.03873661553023084,0.65,0.07626484465736653,0.9134353741496598,0.028552441455885452,0.7159267980696551,0.05773116319794589,2.4241008281707765,0.041860983738386356
TabForestPFNClassifier,0.8803571428571428,0.022658174179374133,0.7947476522333502,0.057729313794636805,0.7107142857142856,0.0895709728856032,0.91828231292517,0.026427526266553838,0.7460800985442994,0.054364572581128943,18.59980218410492,0.9993419390654762
