,accuracy mean,accuracy std,precision mean,precision std,recall mean,recall std,roc_auc mean,roc_auc std,f1 mean,f1 std,runtime mean,runtime std
MajorityClass,0.9017857142857142,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,9.999275207519531e-05,0.0002999782562255859
MedPFNClassifier,0.8991071428571429,0.0232999791976784,0.49547619047619057,0.13822325757353704,0.4454545454545455,0.1314257481345542,0.847974797479748,0.052796935284161274,0.46207097453779367,0.1212161047739687,0.24790034294128419,0.008371589006247506
MedPFNClassifier,0.9160714285714286,0.01607142857142856,0.5784523809523809,0.13503217261720762,0.3727272727272727,0.18829377433825434,0.8731773177317732,0.048411874767319237,0.4415831244778613,0.18219787665792636,1.562302327156067,0.007388602999833755
MedPFNClassifier,0.9142857142857143,0.019232731454051806,0.5917857142857142,0.1121381178859053,0.4636363636363637,0.10325287901455042,0.8735373537353736,0.04733694788343577,0.5141323043328697,0.09661318238790054,10.152100872993469,0.09253675800905407
RandomForestClassifier,0.9321428571428572,0.013946874421261886,0.868095238095238,0.14058591356523073,0.36363636363636365,0.12196734422726124,0.8965796579657968,0.043034187220563735,0.5028244631185808,0.13655419090645213,0.2671989440917969,0.00930370703287997
CatBoostGrid,0.9232142857142858,0.012111303541295124,0.8266666666666668,0.18306040290327977,0.2727272727272727,0.12856486930664499,0.8827182718271829,0.03590005361948419,0.3956690368455074,0.15183378563972144,75.1972076177597,4.888531959325633
XGBoostGrid,0.9276785714285714,0.015178571428571418,0.8550000000000001,0.19805302320338358,0.31818181818181823,0.09315409787235998,0.8954995499549954,0.05152172135138079,0.4607142857142857,0.1212977820384101,42.77330043315887,1.1255728745308187
LogisticRegressionClassifier,0.8901785714285714,0.03973966622190696,0.46670917317976135,0.15308566501182103,0.5272727272727272,0.14545454545454545,0.8400540054005401,0.039386626483567846,0.4925512892904197,0.14822109896639352,0.008100175857543945,0.0002998838744630293
TabPFNClassifier,0.9294642857142857,0.010140907760357637,0.7883333333333333,0.11255862669935364,0.39999999999999997,0.15320272314866107,0.8840684068406841,0.051622810425838994,0.5086466165413535,0.13706139992839236,2.4561010599136353,0.04924284058360818
TabForestPFNClassifier,0.925,0.013946874421261883,0.6557539682539681,0.07959277852321847,0.47272727272727266,0.13965719541579288,0.88019801980198,0.04933519705032077,0.5434201926384589,0.12079351541709803,17.727702856063843,1.0867696596259493
