,Unnamed: 0,accuracy mean,accuracy std,precision mean,precision std,recall mean,recall std,roc_auc mean,roc_auc std,f1 mean,f1 std,runtime mean,runtime std
0,MajorityClass,0.946,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
1,XGBClassifier,0.948,0.015,0.582,0.289,0.292,0.149,0.804,0.083,0.365,0.173,0.01,0.001
2,MedPFNClassifier,0.946,0.015,0.497,0.273,0.318,0.19,0.801,0.102,0.362,0.191,0.141,0.01
3,MedPFNClassifier,0.956,0.014,0.684,0.268,0.35,0.206,0.855,0.076,0.439,0.224,1.752,0.059
4,MedPFNClassifier,0.952,0.015,0.58,0.232,0.417,0.224,0.861,0.075,0.459,0.212,11.292,0.247
5,RandomForestClassifier,0.954,0.01,0.655,0.381,0.207,0.142,0.85,0.087,0.301,0.192,0.194,0.007
6,CatBoostGrid,0.952,0.008,0.449,0.361,0.15,0.132,0.86,0.086,0.215,0.182,26.477,2.111
7,XGBoostGrid,0.949,0.007,0.338,0.264,0.127,0.115,0.85,0.081,0.177,0.152,5.838,0.251
8,LogisticRegressionClassifier,0.934,0.017,0.386,0.191,0.313,0.151,0.752,0.114,0.334,0.154,0.007,0.001
9,TabPFNClassifier,0.955,0.011,0.655,0.319,0.245,0.15,0.86,0.083,0.343,0.193,2.586,0.045
10,TabForestPFNClassifier,0.947,0.014,0.522,0.281,0.288,0.18,0.852,0.08,0.351,0.19,17.392,0.491
